Abortiporus biennis,Blushing Rosette
Aurantiporus fissilis,Greasy Bracket
Aureoboletus gentilis,Gilded Bolete
Auricularia auricula-judae,Jelly Ear
Auricularia mesenterica,Tripe Fungus
Auriscalpium vulgare,Earpick Fungus
Baeospora myosura,Conifercone Cap
Bankera fuligineoalba,Drab Tooth
Bankera violascens,Spruce Tooth
Basidioradulum radula,Toothed Crust
Battarrea phalloides,Sandy Stiltball
Bauhinus marginalis,Bistort Silver Rust
Bauhinus pustulatus,Bistort Blister
Bertia moriformis,Wood Mulberry
Biscogniauxia nummularia,Beech Tarcrust
Bisporella citrina,Lemon Disco
Bjerkandera adusta,Smoky Bracket
Bjerkandera fumosa,Big Smoky Bracket
Blasiphalia pseudogrisella,Blasia Mosscap
Bolbitius reticulatus,Netted Fieldcap
Bolbitius titubans,Yellow Fieldcap
Boletopsis perplexa,Black Falsebolete
Boletus aereus,Bronze Bolete
Boletus appendiculatus,Oak Bolete
Boletus badius,Bay Bolete
Boletus bubalinus,Ascot Hat
Boletus calopus,Bitter Beech Bolete
Boletus chrysenteron,Red Cracking Bolete
Boletus edulis,Penny Bun / Cep
Boletus fechtneri,Pale Bolete
Boletus fragrans,Fragrant Bolete
Boletus immutatus,Constant Bolete
Boletus impolitus,Iodine Bolete
Boletus luridiformis,Scarletina Bolete
Boletus luridiformis var. discolor,False Yellow Bolete
Boletus luridus,Lurid Bolete
Boletus moravicus,Tawny Bolete
Boletus pinophilus,Pine Bolete
Boletus porosporus,Sepia Bolete
Boletus pruinatus,Matt Bolete
Boletus pseudoregius,The Pretender
Boletus pseudosulphureus,Yellow Bolete
Boletus pulverulentus,Inkstain Bolete
Boletus queletii,Deceiving Bolete
Boletus radicans,Rooting Bolete
Boletus regius,Royal Bolete
Boletus reticulatus,Summer Bolete
Boletus rhodopurpureus,Oldrose Bolete
Boletus rhodoxanthus,Ruddy Bolete
Boletus rubellus,Ruby Bolete
Boletus satanas,Devil's Bolete
Boletus subtomentosus,Suede Bolete
Boletus torosus,Brawny Bolete
Bovista dermoxantha,Dwarf Puffball
Bovista limosa,Least Puffball
Bovista nigrescens,Brown Puffball
Bovista paludosa,Fen Puffball
Bovista plumbea,Grey Puffball
Buchwaldoboletus lignicola,Wood Bolete
Buchwaldoboletus sphaerocephalus,Golden Bolete
Bulgaria inquinans,Black Bulgar
Byssomerulius corium,Netted Crust
Cainiella johansonii,Mountain Avens Microdot
Calocera cornea,Small Stagshorn
Calocera pallidospathulata,Pale Stagshorn
Calocera viscosa,Yellow Stagshorn
Calocybe favrei,Gilded Domecap 
Calocybe gambosa,St. George's Mushroom
Caloscypha fulgens,Golden Cup
Calvatia gigantea,Giant Puffball
Camarophyllopsis atropuncta,Dotted Fanvault
Camarophyllopsis foetens,Stinking Fanvault
Camarophyllopsis hymenocephala,Dark Fanvault
Camarophyllopsis micacea,Yellowlegged Fanvault
Camarophyllopsis schulzeri,Matt Fanvault
Camarops polysperma,Thick Tarcrust
Campanella caesia,Marram Oysterling
Cantharellula umbonata,The Humpback
Cantharellus aurora,Golden Chanterelle
Cantharellus cibarius,Chanterelle
Cantharellus cinereus,Ashen Chanterelle
Cantharellus ferruginascens,Pale Chanterelle
Cantharellus friesii,Orange Chanterelle
Cantharellus melanoxeros,Blackening Chanterelle
Cantharellus tubaeformis,Trumpet Chanterelle
Catinella olivacea,Olive Salver
Ceriporiopsis gilvescens,Pink Porecrust
Ceriporiopsis pannocincta,Green Porecrust
Chalciporus piperatus,Peppery Bolete
Chamaemyces fracidus,Dewdrop Dapperling
Chlorencoelia versiformis,Flea's Ear
Chlorociboria aeruginascens,Green Elfcup
Chlorophyllum molybdites,False Parasol
Chlorophyllum rhacodes,Shaggy Parasol
Chondrostereum purpureum,Silverleaf Fungus
Chroogomphus rutilus,Copper Spike
Chrysomphalina chrysophylla,Golden Navel
Chrysomyxa empetri,Crowberry Rust
Chrysomyxa pirolata,Wintergreen Rust
Ciboria caucus,Alder Goblet
Clathrus archeri,Devil's Fingers
Clathrus ruber,Red Cage
Clavaria acuta,Pointed Club
Clavaria argillacea,Moor Club
Clavaria fragilis,White Spindles
Clavaria fumosa,Smoky Spindles
Clavaria greletii,Dark Club
Clavaria incarnata,Skinny Club
Clavaria rosea,Rose Spindles
Clavaria straminea,Straw Club
Clavaria zollingeri,Violet Coral
Clavariadelphus ligula,Ochre Club
Clavariadelphus pistillaris,Giant Club
Clavariadelphus truncatus,Truncated Club
Claviceps purpurea,Ergot
Clavicorona pyxidata,Candelabra Coral
Clavicorona taxophila,Yew Club
Clavulina cinerea,Grey Coral
Clavulina coralloides,Crested Coral
Clavulina rugosa,Wrinkled Club
Clavulinopsis corniculata,Meadow Coral
Clavulinopsis fusiformis,Golden Spindles
Clavulinopsis helvola,Yellow Club
Clavulinopsis laeticolor,Handsome Club
Clavulinopsis luteoalba,Apricot Club
Clavulinopsis luteonana,Dwarf Spindles
Clavulinopsis umbrinella,Beige Coral
Clitocybe alexandri,Alexander's Funnel
Clitocybe ditopa,Mealy Frosted Funnel
Clitocybe fragrans,Fragrant Funnel
Clitocybe geotropa,Trooping Funnel
Clitocybe gibba,Common Funnel
Clitocybe nebularis,Clouded Funnel
Clitocybe odora,Aniseed Funnel
Clitocybe phaeophthalma,Chicken Run Funnel
Clitocybe phyllophila,Frosty Funnel
Clitocybe rivulosa,Fool's Funnel
Clitocybe trulliformis,Dapper Funnel
Clitocybe vibecina,Mealy Funnel
Clitopilus prunulus,The Miller
Collybia cirrhata,Piggyback Shanklet
Collybia cookei,Splitpea Shanklet
Collybia tuberosa,Lentil Shanklet
Coltricia perennis,Tiger's Eye
Coniophora puteana,Wet Rot
Conocybe apala,Milky Conecap
Conocybe arrhenii,Ringed Conecap
Conocybe filaris,Fool's Conecap
Coprinellus disseminatus,Fairy Inkcap
Coprinellus domesticus,Firerug Inkcap
Coprinellus micaceus,Glistening Inkcap
Coprinopsis acuminata,Humpback Inkcap
Coprinopsis ammophilae,Dune Inkcap
Coprinopsis atramentaria,Common Inkcap
Coprinopsis episcopalis,Mitre Inkcap
Coprinopsis jonesii,Bonfire Inkcap
Coprinopsis lagopus,Hare'sfoot Inkcap
Coprinopsis nivea,Snowy Inkcap
Coprinopsis picacea,Magpie Inkcap
Coprinopsis scobicola,Sawdust Inkcap
Coprinopsis stangliana,Pied Inkcap
Coprinus alopecius,Distinguished Inkcap
Coprinus comatus,Shaggy Inkcap / Lawyer's Wig
Coprinus sterquilinus,Midden Inkcap
Cordyceps capitata,Drumstick Truffleclub
Cordyceps clavulata,Bug Sputnik
Cordyceps forquignonii,Yellow Waspclub
Cordyceps militaris,Scarlet Caterpillarclub
Cordyceps tuberculata,Dwarf Caterpillarclub
Coriolopsis gallica,Brownflesh Bracket
Cortinarius alboviolaceus,Pearly Webcap
Cortinarius aleuriosmus,Mealy Webcap
Cortinarius amoenolens,Blueleg Webcap
Cortinarius anomalus,Variable Webcap
Cortinarius armillatus,Red Banded Webcap
Cortinarius atrovirens,Olive Webcap
Cortinarius bolaris,Dappled Webcap
Cortinarius bulliardii,Hotfoot Webcap
Cortinarius caerulescens,Mealy Bigfoot Webcap
Cortinarius caledoniensis,Caledonian Webcap
Cortinarius callisteus,Tawny Webcap
Cortinarius camphoratus,Goatcheese Webcap
Cortinarius caperatus,The Gypsy
Cortinarius cinnamomeus,Cinnamon Webcap
Cortinarius collinitus,Blue-girdled Webcap
Cortinarius corrosus,Spruce Bigfoot Webcap
Cortinarius crassus,Stout Webcap
Cortinarius croceus,Saffron Webcap
Cortinarius cumatilis,Wavy Webcap
Cortinarius cyanites,Blushing Webcap
Cortinarius decipiens,Sepia Webcap
Cortinarius delibutus,Yellow Webcap
Cortinarius durus,Hard Webcap
Cortinarius evernius,Silky Webcap
Cortinarius fervidus,Dyer's Webcap
Cortinarius flexipes var. flabellus,Pelargonium Webcap
Cortinarius flexipes var. flexipes,Pine Pelargonium Webcap
Cortinarius glaucopus,Greenfoot Webcap
Cortinarius hemitrichus,Frosty Webcap
Cortinarius hinnuleus,Earthy Webcap
Cortinarius humicola,Golden Webcap
Cortinarius infractus,Bitter Webcap
Cortinarius integerrimus,Purple Stocking Webcap
Cortinarius laniger,Woolly Webcap
Cortinarius limonius,Sunset Webcap
Cortinarius livido-ochraceus,Wrinkled Webcap
Cortinarius mucifluus,Slimy Webcap
Cortinarius mucosus,Orange Webcap
Cortinarius olearioides,Saffron Stainer
Cortinarius orellanus,Fool's Webcap
Cortinarius osmophorus,Sweet Webcap
Cortinarius pholideus,Scaly Webcap
Cortinarius praestans,Goliath Webcap
Cortinarius purpurascens,Bruising Webcap
Cortinarius rubellus,Deadly Webcap
Cortinarius rubicundulus,Ruddy Webcap
Cortinarius saginus,Cloaked Webcap
Cortinarius sanguineus,Bloodred Webcap
Cortinarius scaurus,Green Webcap
Cortinarius semisanguineus,Surprise Webcap
Cortinarius sodagnitus,Bitter Bigfoot Webcap
Cortinarius spilomeus,Freckled Webcap
Cortinarius splendens,Splendid Webcap
Cortinarius subtortus,Incense Webcap
Cortinarius talus,Honey Webcap
Cortinarius torvus,Stocking Webcap
Cortinarius traganus,Gassy Webcap
Cortinarius triumphans,Birch Webcap
Cortinarius trivialis,Girdled Webcap
Cortinarius uliginosus,Marsh Webcap
Cortinarius variicolor,Contrary Webcap
Cortinarius vernus,Spring Webcap
Cortinarius violaceus,Violet Webcap
Cortinarius vulpinus,Foxy Webcap
Cortinarius xanthocephalus,Yellow Capped Webcap
Cotylidia pannosa,Woolly Rosette
Cotylidia undulata,Stalked Rosette
Craterellus cornucopioides,Horn of Plenty
Crepidotus applanatus,Flat Oysterling
Crepidotus caspari,Pale Oysterling
Crepidotus cinnabarinus,Cinnabar Oysterling
Crepidotus crocophyllus,Saffron Oysterling
Crepidotus luteolus,Yellowing Oysterling
Crepidotus mollis,Peeling Oysterling
Crepidotus variabilis,Variable Oysterling
Crinipellis scabella,Hairy Parachute
Crucibulum laeve,Common Bird's Nest
Cryptomyces maximus,Willow Blister
Cryptovalsa suaedicola,Seablight Microdot
Cudonia circinans,Redleg Jellybaby
Cudonia confusa,Cinnamon Jellybaby
Cudoniella acicularis,Oak Pin
Cudoniella clavus,Spring Pin
Cyathus olla,Field Bird's Nest
Cyathus stercoreus,Dung Bird's Nest
Cyathus striatus,Fluted Bird's Nest
Cystoderma amianthinum,Earthy Powdercap
Cystoderma carcharias,Pearly Powdercap
Cystoderma jasonis,Pine Powdercap
Cystodermella cinnabarina,Cinnabar Powdercap
Cystolepiota bucknallii,Lilac Dapperling
Cystolepiota seminuda,Bearded Dapperling
Cytidia salicina,Scarlet Splash
Dacrymyces chrysospermus,Orange Jelly Spot
Dacrymyces ovisporus,Pine Jelly Spot
Dacrymyces stillatus,Common Jelly Spot
Dacryobolus sudans,Weeping Toothcrust
Daedalea quercina,Oak Mazegill
Daedaleopsis confragosa,Blushing Bracket
Daldinia concentrica,King Alfred's Cakes / Cramp Balls
Datronia mollis,Common Mazegill
Dencoeliopsis johnstonii,Birch Cup
Dendrocollybia racemosa,Branched Shanklet
Dermoloma cuneifolium,Crazed Cap
Dermoloma pseudocuneifolium,Dark Crazed Cap
Diatrype bullata,Willow Barkspot
Diatrype disciformis,Beech Barkspot
Diatrype stigma,Common Tarcrust
Dicellomyces scirpi,Wood Clubrush Smut
Disciotis venosa,Bleach Cup
Doassansia limosellae,Mudwort Smut
Dumontinia tuberosa,Anemone Cup
Elaphocordyceps ophioglossoides,Snaketongue Truffleclub
Elaphomyces granulatus,False Truffle
Encoelia fimbriata,Fringed Cup
Encoelia furfuracea,Spring Hazelcup
Encoelia glauca,Green Hazelcup
Entoloma aethiops,Black Pinkgill
Entoloma aprile,April Pinkgill
Entoloma bloxamii,Big Blue Pinkgill 
Entoloma catalaunicum,Bluefoot Pinkgill
Entoloma cetratum,Honey Pinkgill
Entoloma chalybaeum,Indigo Pinkgill
Entoloma clypeatum,Shield Pinkgill
Entoloma conferendum,Star Pinkgill
Entoloma corvinum,Crow Pinkgill
Entoloma dichroum,Bicoloured Pinkgill
Entoloma excentricum,Excentric Pinkgill
Entoloma griseocyaneum,Felted Pinkgill
Entoloma hebes,Pimple Pinkgill
Entoloma incanum,Mousepee Pinkgill
Entoloma indutoides,Drab Pinkgill
Entoloma jubatum,Sepia Pinkgill
Entoloma nitidum,Pine Pinkgill
Entoloma papillatum,Papillate Pinkgill
Entoloma pleopodium,Aromatic Pinkgill
Entoloma porphyrophaeum,Lilac Pinkgill
Entoloma prunuloides,Mealy Pinkgill
Entoloma rhodopolium,Wood Pinkgill
Entoloma roseum,Rosy Pinkgill
Entoloma sericellum,Cream Pinkgill
Entoloma sericeum,Silky Pinkgill
Entoloma serrulatum,Blue Edge Pinkgill
Entoloma sinuatum,Livid Pinkgill
Entoloma tjallingiorum,Hairy Pinkgill
Entoloma turbidum,Yellowfoot Pinkgill
Entyloma chrysosplenii,Saxifrage Smut
Entyloma eryngii,Sea Holly Smut
Entyloma henningsianum,Brookweed Smut
Entyloma ossifragi,Bog Asphodel Smut
Eocronartium muscicola,Moss Rust
Epichloe typhina,Choke
Erastia salmonicolor,Salmon Bracket
Eutypa spinosa,Spiral Tarcrust
Exidia glandulosa,Witches' Butter
Exidia nucleata,Crystal Brain
Exidia recisa,Amber Jelly
Exidia repanda,Birch Jelly
Exidia saccharina,Pine Jelly
Exidia thuretiana,White Brain
Exobasidium expansum,Northern Bilberry Redleaf
Exobasidium juelianum,Dwarfing Redleaf
Exobasidium myrtilli,Blaeberry Redleaf
Exobasidium sydowianum,Bearberry Redleaf
Exobasidium vaccinii,Cowberry Redleaf
Faerberia carbonaria,Firesite Funnel
Fayodia bisphaerigera,Slender Navel
Fistulina hepatica,Beefsteak Fungus
Flammulina velutipes,Velvet Shank
Flaviporus brownei,Yellowpored Bracket
Fomes fomentarius,Hoof Fungus / Tinder Bracket
Fomitiporia punctata,Elbowpatch Crust
Fomitopsis pinicola,Red-belted Bracket
Fomitopsis rosea,Rose Bracket
Fuscoporia ferrea,Cinnamon Porecrust
Fuscoporia ferruginosa,Rusty Porecrust
Fuscoporia torulosa,Tufted Bracket
Galerina harrisonii,Snowbed Bell
Galerina hypnorum,Moss Bell
Galerina marginata,Funeral Bell
Galerina paludosa,Bog Bell
Galerina pumila,Dwarf Bell
Galerina vittiformis,Hairy Leg Bell
Ganoderma applanatum,Artist's Bracket
Ganoderma australe,Southern Bracket
Ganoderma lucidum,Lacquered Bracket
Ganoderma pfeifferi,Beeswax Bracket
Geastrum berkeleyi,Berkeley's Earthstar
Geastrum campestre,Field Earthstar
Geastrum corollinum,Weathered Earthstar
Geastrum coronatum,Crowned Earthstar
Geastrum elegans,Elegant Earthstar
Geastrum fimbriatum,Sessile Earthstar
Geastrum fornicatum,Arched Earthstar
Geastrum lageniforme,Flask Earthstar
Geastrum minimum,Tiny Earthstar
Geastrum quadrifidum,Rayed Earthstar
Geastrum schmidelii,Dwarf Earthstar
Geastrum striatum,Striate Earthstar
Geastrum triplex,Collared Earthstar
Geoglossum atropurpureum,Dark-purple Earthtongue
Geoglossum elongatum,Elongate Earthtongue
Geoglossum glutinosum,Glutinous Earthtongue
Geoglossum peckianum,Slimy Earthtongue
Geoglossum starbaeckii,Star Earthtongue
Geoglossum uliginosum,Viscid Earthtongue
Geoglossum umbratile,Plain Earthtongue
Geopora arenosa s.s,Mountain Cup
Geopora sumneriana,Cedar Cup
Geopyxis carbonaria,Stalked Bonfire Cup
Gloeophyllum odoratum,Anise Mazegill
Gloeophyllum sepiarium,Conifer Mazegill
Gloeophyllum trabeum,Timber Mazegill
Gloeoporus dichrous,Bicoloured Bracket
Gomphidius glutinosus,Slimy Spike
Gomphidius maculatus,Larch Spike
Gomphidius roseus,Rosy Spike
Gomphus clavatus,Pig's Ear
Grifola frondosa,Hen of the Woods
Guepinia helvelloides,Salmon Salad
Gymnopilus dilepis,Magenta Rustgill
Gymnopilus junonius,Spectacular Rustgill
Gymnopilus penetrans,Common Rustgill
Gymnopilus sapineus,Scaly Rustgill
Gymnopus acervatus,Conifer Toughshank
Gymnopus androsaceus,Horsehair Parachute
Gymnopus brassicolens,Cabbage Parachute
Gymnopus confluens,Clustered Toughshank
Gymnopus dryophilus,Russet Toughshank
Gymnopus erythropus,Redleg Toughshank
Gymnopus foetidus,Foetid Parachute
Gymnopus fusipes,Spindle Toughshank
Gymnopus perforans,Stinking Parachute
Gymnopus peronatus,Wood Woollyfoot
Gymnopus putillus,Pine Toughshank
Gyrodon lividus,Alder Bolete
Gyromitra ambigua,Changeable False Morel
Gyromitra esculenta,False Morel
Gyromitra infula,Pouched False Morel
Gyromitra leucoxantha,Fishtail Cup
Gyroporus castaneus,Chestnut Bolete
Gyroporus cyanescens,Cornflower Bolete
Haasiella venustissima,Orange Navel
Hapalopilus nidulans,Cinnamon Bracket
Haradaea duriaeana,Chickweed Seedsmut
Hebeloma crustuliniforme,Poisonpie
Hebeloma mesophaeum,Veiled Poisonpie
Hebeloma radicosum,Rooting Poisonpie
Hebeloma sacchariolens,Sweet Poisonpie
Hebeloma sinapizans,Bitter Poisonpie
Helvella acetabulum,Vinegar Cup
Helvella crispa,White Saddle
Helvella elastica,Elastic Saddle
Helvella lacunosa,Elfin Saddle
Helvella leucomelaena,Sooty Cup
Helvella leucopus,Palefoot Saddle
Helvella macropus,Felt Saddle
Hemimycena lactea,Milky Bonnet
Hemimycena tortuosa,Dewdrop Bonnet
Henningsomyces candidus,White Tubelet
Hericium cirrhatum,Tiered Tooth 
Hericium coralloides,Coral Tooth 
Hericium erinaceus,Bearded Tooth 
Heterobasidion annosum,Root Rot
Hohenbuehelia auriscalpium,Spatula Oyster
Hohenbuehelia culmicola,Marram Oyster
Hohenbuehelia mastrucata,Woolly Oyster
Humaria hemisphaerica,Glazed Cup
Hyalopsora adianti-capilli-veneris,Maidenhair Rust
Hyalopsora aspidiotus,Oak Fern Rust
Hydnellum aurantiacum,Orange Tooth
Hydnellum caeruleum,Blue Tooth
Hydnellum concrescens,Zoned Tooth
Hydnellum ferrugineum,Mealy Tooth
Hydnellum peckii,Devil's Tooth
Hydnellum scrobiculatum,Ridged Tooth
Hydnellum spongiosipes,Velvet Tooth
Hydnotrya cubispora,Cubed Fold Truffle
Hydnotrya tulasnei,Red Fold Truffle
Hydnum repandum,Wood Hedgehog
Hydnum rufescens,Terracotta Hedgehog
Hygrocybe acutoconica,Persistent Waxcap
Hygrocybe aurantiosplendens,Orange Waxcap
Hygrocybe calciphila,Limestone Waxcap
Hygrocybe calyptriformis,Pink Waxcap 
Hygrocybe cantharellus,Goblet Waxcap
Hygrocybe ceracea,Butter Waxcap
Hygrocybe chlorophana,Golden Waxcap
Hygrocybe citrinovirens,Citrine Waxcap
Hygrocybe coccinea,Scarlet Waxcap
Hygrocybe colemanniana,Toasted Waxcap
Hygrocybe conica,Blackening Waxcap
Hygrocybe conicoides,Dune Waxcap
Hygrocybe flavipes,Yellow Foot Waxcap
Hygrocybe fornicata,Earthy Waxcap
Hygrocybe glutinipes,Glutinous Waxcap
Hygrocybe ingrata,Dingy Waxcap
Hygrocybe insipida,Spangle Waxcap
Hygrocybe intermedia,Fibrous Waxcap
Hygrocybe irrigata,Slimy Waxcap
Hygrocybe lacmus,Grey Waxcap
Hygrocybe laeta,Heath Waxcap
Hygrocybe lilacina,Lilac Waxcap
Hygrocybe miniata,Vermilion Waxcap
Hygrocybe mucronella,Bitter Waxcap
Hygrocybe nitrata,Nitrous Waxcap
Hygrocybe ovina,Blushing Waxcap
Hygrocybe pratensis,Meadow Waxcap
Hygrocybe pratensis var. pallida,Pale Waxcap
Hygrocybe psittacina,Parrot Waxcap
Hygrocybe punicea,Crimson Waxcap
Hygrocybe quieta,Oily Waxcap
Hygrocybe radiata,Slender Waxcap
Hygrocybe reidii,Honey Waxcap
Hygrocybe russocoriacea,Cedarwood Waxcap
Hygrocybe salicis-herbaceae,Mountain Waxcap
Hygrocybe spadicea,Date Waxcap 
Hygrocybe splendidissima,Splendid Waxcap
Hygrocybe viola,Amethyst Waxcap
Hygrocybe virginea,Snowy Waxcap
Hygrocybe xanthochroa,Alpine Waxcap
Hygrophoropsis aurantiaca,False Chanterelle
Hygrophorus agathosmus,Almond Woodwax
Hygrophorus arbustivus,Forest Woodwax
Hygrophorus camarophyllus,Arched Woodwax
Hygrophorus chrysodon,Gold Flecked Woodwax
Hygrophorus discoxanthus,Yellowing Woodwax
Hygrophorus eburneus,Ivory Woodwax
Hygrophorus erubescens,Blotched Woodwax
Hygrophorus erubescens,Blotched Woodwax
Hygrophorus hypothejus,Herald of Winter
Hygrophorus lucorum,Larch Woodwax
Hygrophorus mesotephrus,Ashen Woodwax
Hygrophorus nemoreus,Oak Woodwax
Hygrophorus penarius,Matt Woodwax
Hygrophorus pudorinus,Rosy Woodwax
Hygrophorus russula,Pinkmottle Woodwax
Hymenochaete corrugata,Glue Crust
Hymenochaete rubiginosa,Oak Curtain Crust
Hymenochaete tabacina,Willow Glue
Hymenoscyphus fructigenus,Nut Disco
Hyphodontia sambuci,Elder Whitewash
Hypholoma capnoides,Conifer Tuft
Hypholoma elongatum,Sphagnum Brownie
Hypholoma fasciculare,Sulphur Tuft
Hypholoma lateritium,Brick Tuft
Hypholoma marginatum,Snakeskin Brownie
Hypholoma myosotis,Olive Brownie
Hypholoma radicosum,Rooting Brownie
Hypholoma udum,Peat Brownie
Hypocrea pulvinata,Ochre Cushion
Hypocreopsis lichenoides,Willow Gloves
Hypocreopsis rhododendri,Hazel Gloves
Hypomyces chrysospermus,Bolete Mould
Hypomyces luteovirens,Green Gillgobbler
Hypoxylon fragiforme,Beech Woodwart
Hypoxylon fuscum,Hazel Woodwart
Hypoxylon multiforme,Birch Woodwart
Hypoxylon rubiginosum,Rusty Woodwart
Hypsizygus ulmarius,Elm Leech
Ileodictyon cibarium,Basket Fungus
Inocybe arenicola,Sand Fibrecap
Inocybe asterospora,Star Fibrecap
Inocybe bongardii,Fruity Fibrecap
Inocybe calamistrata,Greenfoot Fibrecap
Inocybe cincinnata,Collared Fibrecap
Inocybe cookei,Straw Fibrecap
Inocybe corydalina,Greenflush Fibrecap
Inocybe duriuscula,Silky Fibrecap
Inocybe erubescens,Deadly Fibrecap
Inocybe flocculosa,Fleecy Fibrecap
Inocybe fraudans,Pear Fibrecap
Inocybe geophylla,White Fibrecap
Inocybe geophylla var. lilacina,Lilac Fibrecap
Inocybe griseolilacina,Lilac Leg Fibrecap
Inocybe hystrix,Scaly Fibrecap
Inocybe jacobi,Pineling Fibrecap
Inocybe lacera,Torn Fibrecap
Inocybe maculata,Frosty Fibrecap
Inocybe napipes,Bulbous Fibrecap
Inocybe petiginosa,Scurfy Fibrecap
Inocybe rimosa,Split Fibrecap
Inocybe stellatospora,Woolly Fibrecap
Inocybe vulpinella,Foxy Fibrecap
Inocybe whitei,Blushing Fibrecap
Inonotus cuticularis,Clustered Bracket
Inonotus hispidus,Shaggy Bracket
Inonotus obliquus,Chaga
Irpicodon pendulus,Pendent Bracket
Ischnoderma benzoinum,Benzoin Bracket
Jafneadelphus amethystinus,Amethyst Disco
Jamesdicksonia irregularis,Annual Meadow Grass Smut
Kretzschmaria deusta,Brittle Cinder
Kuehneola uredinis,Pale Bramble Rust
Kuehneromyces lignicola,Conifer Woodtuft
Kuehneromyces mutabilis,Sheathed Woodtuft
Laccaria amethystina,Amethyst Deceiver
Laccaria bicolor,Bicoloured Deceiver
Laccaria laccata,Deceiver
Laccaria maritima,Sand Deceiver
Laccaria proxima,Scurfy Deceiver
Laccaria tortilis,Twisted Deceiver
Lachnellula occidentalis,Larch Disco
Lachnellula subtilissima,Conifer Disco
Lachnellula willkommii,Larch Canker Disco
Lachnum apalum,Rush Disco
Lachnum callimorphum,Heath Sedge Disco
Lachnum virgineum,Snowy Disco
Lacrymaria lacrymabunda,Weeping Widow
Lactarius acerrimus,Two Spored Milkcap
Lactarius aurantiacus,Orange Milkcap
Lactarius blennius,Beech Milkcap
Lactarius camphoratus,Curry Milkcap
Lactarius chrysorrheus,Yellowdrop Milkcap
Lactarius deliciosus,Saffron Milkcap
Lactarius deterrimus,False Saffron Milkcap
Lactarius fuliginosus,Sooty Milkcap
Lactarius fulvissimus,Tawny Milkcap
Lactarius glyciosmus,Coconut Milkcap
Lactarius helvus,Fenugreek Milkcap
Lactarius hepaticus,Liver Milkcap
Lactarius lilacinus,Lilac Milkcap
Lactarius luridus,Lurid Milkcap
Lactarius mairei,Whiskery Milkcap
Lactarius musteus,Pine Milkcap
Lactarius obscuratus,Alder Milkcap
Lactarius pallidus,Pale Milkcap
Lactarius piperatus,Peppery Milkcap
Lactarius porninsis,Larch Milkcap
Lactarius pubescens,Bearded Milkcap
Lactarius pyrogalus,Fiery Milkcap
Lactarius quietus,Oakbug Milkcap
Lactarius repraesentaneus,Yellow Bearded Milkcap
Lactarius resimus,Rollrim Milkcap
Lactarius rufus,Rufous Milkcap
Lactarius salicis-reticulatae,Mountain Milkcap
Lactarius scoticus,Hoary Milkcp
Lactarius scrobiculatus,Spotted Milkcap
Lactarius serifluus,Watery Milkcap
Lactarius spinosulus,Lilacscale Milkcap
Lactarius subdulcis,Mild Milkcap
